the_geom,MainStreet,CrossStree,Install_Da,LONG,LAT,X,Y
POINT (-73.92631467226427 40.69192782161214),Broadway,Van Buren Street,06/04/2020 12:00:00 AM,-73.9263146723,40.6919278216,1004684.00013,191373.000178
POINT (-73.93311895691214 40.69579112218081),Broadway,Willoughby Avenue,06/04/2020 12:00:00 AM,-73.9331189569,40.6957911222,1002795.99997,192778.99999
POINT (-73.9205489614313 40.688641239858434),Broadway,Woodbine Street,06/04/2020 12:00:00 AM,-73.9205489614,40.6886412399,1006284.00021,190177.000273
POINT (-73.96677567245467 40.71062749262523),Broadway,Wythe Avenue,06/04/2020 12:00:00 AM,-73.9667756725,40.7106274926,993461.000267,198179.000017
POINT (-73.92541832360371 40.76791307539543),Crescent Street,30 Road,06/09/2020 12:00:00 AM,-73.9254183236,40.7679130754,1004909.00001,219057.000256
POINT (-73.9227580372248 40.81738784471972),E 149 Street,Morris Avenue,01/14/2011 12:00:00 AM,-73.9227580372,40.8173878447,1005630.00021,237082.999965
POINT (-73.9790361106662 40.62985984682673),18 Avenue,46 Street,06/15/2020 12:00:00 AM,-73.9790361107,40.6298598468,990069.000161,168752.000144
POINT (-73.98326299217479 40.62603430269841),18 Avenue,53 Street,06/15/2020 12:00:00 AM,-73.9832629922,40.6260343027,988896.00021,167357.99998
POINT (-73.9838323184328 40.62546346804556),18 Avenue,54 Street,06/15/2020 12:00:00 AM,-73.9838323184,40.625463468,988738.000198,167150.000067
POINT (-73.98440163495232 40.62489263053899),18 Avenue,55 Street,06/15/2020 12:00:00 AM,-73.984401635,40.6248926305,988580.000186,166942.000155
POINT (-73.98610232092241 40.62318284391246),18 Avenue,58 Street,06/15/2020 12:00:00 AM,-73.9861023209,40.6231828439,988108.000146,166319.000089
POINT (-73.9884190017493 40.62087198649469),18 Avenue,62 Street,06/15/2020 12:00:00 AM,-73.9884190017,40.6208719865,987465.00012,165477.000133
POINT (-73.98899184156558 40.62030387113217),18 Avenue,63 Street,06/15/2020 12:00:00 AM,-73.9889918416,40.6203038711,987306.00011,165270.000219
POINT (-73.98956827330994 40.61973849709451),18 Avenue,64 Street,06/15/2020 12:00:00 AM,-73.9895682733,40.6197384971,987146.000102,165063.999974
